Rubric,Remedies.,Meaning
Homeosetu Clinical Repertory; Boericke; Acidity :,"acet-ac., adren., am-p., ambr., ant-c., ant-t., apom., arg-n., ars., arund., bar-m., bell., benz-ac., bor-ac., but-ac., calc., carb-ac., card-m., caust., cham., chin-ar., chin-s., chr-ac., cit-ac., coc-c., coff., coloc., con., corn-f., cuph., cupr-ar., dros., elaps., euon-a., fab., fago., ferr-cit., ferr-s., fili-v., fl-ac., Form-ac., franc., gall-ac., gent-l., grat., helo., hep., hip-ac., hydr-ac., ichth., ign., joan., kali-bi., kali-c., kali-chl., lac-ac., lach., linu-u., lith-be., lith-c., lob., lyc., mag-c., merc-c., mez., mur-ac., myric., nabal., nat-n., nat-p., nat-s., nit-ac., nit-m-ac., oci., ox-ac., petr., ph-ac., pic-ac., pipe., podo., pop., ptel., quas., queb., rob., sabal., sac-alb., sal-ac., sang., sant., sarcol-ac., sec., sep., spira., stront-br., sul-ac., sulo-ac., sulph., tann-ac., tart-ac., thea., thlaspi., thyr., uran-n., urotrop., urt-u., zing.",
"Homeosetu Clinical Repertory; Boericke; Acidity; Infants, in :",cuph.,
Homeosetu Clinical Repertory; Boericke; Acne :,"ant-s., anthr., arn., ars., ars-br., ars-i., ars-s-r., asim., aster., bell., bell-p., berb-a., bov., brom., calc-hp., carb-an., chrysar., crot-h., cupr-ar., cycl., eug., glon., graph., hep., hydrc., Ichth., insulin., jug-r., kali-ar., kali-bi., kali-br., kali-i., kali-m., lappa., led., lyc., med., nux-v., ov., ph-ac., psor., puls., rad-br., sang., sel., skat., staphyloc., sul-i., sulo-ac., ter., tub., urine.",
"Homeosetu Clinical Repertory; Boericke; Acne; Nose, of :","Ars., Psor.",
Homeosetu Clinical Repertory; Boericke; Acne; Rosacea :,"bell., carb-an., chrysar., eug., Ichth., kali-i., ov., psor., rad-br., sulo-ac.",
,,
,,
,,
Homeosetu Clinical Repertory; Boericke; Addison's disease :,"adren., nat-m.",
Homeosetu Clinical Repertory; Boericke; Adenitis : ,dulc.,
Homeosetu Clinical Repertory; Boericke; Adenoids : ,"agra., calc-i., calc-p., iod., kali-s., mez., sulph.",
Homeosetu Clinical Repertory; Boericke; Adhesions : ,"asc-t., calc-f., iris-t., merc-c., osm., sep., stann., Thiosin.",
Homeosetu Clinical Repertory; Boericke; After-pains : ,"aesc., agar., aloe., am-m., apis., aran., arg-n., arund., asar., bar-c., bar-m., calc., calc-hp., caps., carb-v., caul., cimic., cycl., dig., dios., esin., eup-per., fel., gamb., gins., hydr., hyper., ign., indg., iris-t., kali-bi., kali-sil., kreos., lach., lith-c., lycpr., nat-m., nit-ac., nux-v., ol-an., paeon., pall., phys., psor., puls., rat., rumx., ruta., sars., sed-ac., spong., Staph., symph., thuj., trich-d., trom., xan., zinc.",
Homeosetu Clinical Repertory; Boericke; Agalactia : ,"agn., thyr., urt-u.",
Homeosetu Clinical Repertory; Boericke; Ague : ,"cean., chelo., cupr-acet., hell-f., polym., pop.",
Homeosetu Clinical Repertory; Boericke; Ague; Chronic : ,hell-f.,
Homeosetu Clinical Repertory; Boericke; Albuminuria : ,"acet-ac., acetan., adon., alum., am-be., ant-t., antipyrin., arg-n., ars., bor., brach., cahin., calc-ar., chin-s., coc-c., colch., crot-h., echi., equis., euon-a., eup-pur., ferr-ar., form., formal., fuch., gels., helon., kali-bi., kali-br., kali-c., kali-chl., kalm., lec., lon-x., mang., merc., merc-c., merc-cy., mez., nat-h., nat-sal., nit-ac., osm., petr., ph-ac., phlor., plb., rad-br., rhus-a., rob., sal-ac., saroth., Ser-ang., solid., stroph., sulfon., thlaspi., thyr., urea., vanad., visc.",
"Homeosetu Clinical Repertory; Boericke; Albuminuria; Pregnancy, of :","helon., merc-c.",
"Homeosetu Clinical Repertory; Boericke; Alcohol, effects of : ","astra-me., hyosin., querc., ran-b.",
Homeosetu Clinical Repertory; Boericke; Alcoholism :,"agar., Apoc., apom., ars., caps., chim., crot-h., fl-ac., ichth., querc., rumx., syph.",
Homeosetu Clinical Repertory; Boericke; Alcoholism; Chronic : ,"chim., crot-h.",
Homeosetu Clinical Repertory; Boericke; Alcoholism; Hereditary craving form alcohol : ,querc.,
Homeosetu Clinical Repertory; Boericke; Alopecia : ,"Alumn., fl-ac., nat-m., pix., sel., thal., ust.",
Homeosetu Clinical Repertory; Boericke; Amaurosis :,"ant-s., both-l., chin., chin-s., naphtin., phos., plb., tab., zinc.",
Homeosetu Clinical Repertory; Boericke; Amblyopia : ,"benz-d., fil., gels., naphtin., ph-ac., quas., sac-l., ter., thyr.",
Homeosetu Clinical Repertory; Boericke; Amenorrhea : ,"aln., anagy., apoc., ars-i., asar-c., cann-s., cast., cimic., euphr., Joan., mang., merl., parth., phos., pin-l., polyg., puls., rub-t., senec., spong.",
Homeosetu Clinical Repertory; Boericke; Anaemia : ,"acet-ac., agar., Alet., alst-s., ambr., anil., arg-n., ars., ars-h., ars-i., aur-ar., bar-m., calc-l-n., calc-p., calo., cean., chin., crat., cycl., ferr., ferr-ar., ferr-cit., ferr-i., ferr-m., ferr-p., ferr-py., galeg., glon., glyc., graph., irid., kali-ar., kali-bi., kali-hp., kali-p., lac-ac., lap-a., lec., lev., mang., merc., nat-c., nat-m., nat-n., nit-ac., ost., pic-ac., plb., rub-t., sabad., sac-alb., sec., senec., spig., stroph., stry-p., thyr., Trinit., vanad., x-ray., zinc.",
Homeosetu Clinical Repertory; Boericke; Anaemia; Acute pernicious : ,"ferr-ar., glyc., pic-ac., trinit.",
Homeosetu Clinical Repertory; Boericke; Anaesthesia : ,"adren., anac-oc., bell., benz., carb-ac., carbn-o., Carbn-s., chlf., cocain., cyt-l., elae., kali-br., plat., plb., sulfon., tub.",
Homeosetu Clinical Repertory; Boericke; Anasarca : ,"acet-ac., adon., aeth., apis., apoc., ars., cahin., calth., chin., coc-c., conv., crat., dulc., iod., liatr., oxyd., prun., stroph.",
Homeosetu Clinical Repertory; Boericke; Aneurism : ,"Bar-c., bar-m., calc-f., lyc.",
Homeosetu Clinical Repertory; Boericke; Anger : ,"calc-ar., cere-s., cham., Coloc., croc., ign., nat-m., nux-v., staph., zea-i.",
Homeosetu Clinical Repertory; Boericke; Anger; Effects of :,"coloc., nat-m., staph.",
Homeosetu Clinical Repertory; Boericke; Angina; Pectoris : ,"adren., aml-n., arg-n., arn., ars., bism., bry., Cact., calc-hp., cimic., conv., crat., cupr., cupr-acet., dios., glon., haem., hydr-ac., lat-m., lil-t., mag-p., magn-gr., nat-i., nat-ns., ox-ac., prun., saroth., scol., sec., spig., spong., tab., zinc-val.",
Homeosetu Clinical Repertory; Boericke; Ankle; Itching eruption about : ,"led., sel., torul.",
Homeosetu Clinical Repertory; Boericke; Ankle; Pains in :,"but-ac., cann-i., com., croc., gnaph., gua., guai., jatr., lil-t., lith-c., mang., mang-m., phyt., polyp-p., Prop., rad-br., urt-u., verb.",
Homeosetu Clinical Repertory; Boericke; Ankle; Painful : ,"but-ac., cann-i., com., croc., gnaph., gua., guai., jatr., lil-t., lith-c., mang., mang-m., phyt., polyp-p., Prop., rad-br., urt-u., verb.",
Homeosetu Clinical Repertory; Boericke; Ankle; Sprain of : ,"led., nat-c., prun., stront-c.",
Homeosetu Clinical Repertory; Boericke; Ankle; Swelling of : ,"arg., led., mim-h., paraf., stann.",
Homeosetu Clinical Repertory; Boericke; Ankle; Weak : ,"caust., mang., nat-c., nat-h., nat-m., pin-s.",
Homeosetu Clinical Repertory; Boericke; Anorexia :,"anil., chin-ar., goss., indg., mate., ric., vanad.",
Homeosetu Clinical Repertory; Boericke; Anterior crural neuralgia : ,"gnaph., nat-ar., pareir., xan.",
"Homeosetu Clinical Repertory; Boericke; Anthrax, of sheep : ","anthr., ars., both-l., crot-h., ther.",
Homeosetu Clinical Repertory; Boericke; Antiseptic : ,"arbin., Bor-ac., canch., echi., eucal., Myris., myrt-c., pyrog., sac-alb., tab., tart-ac.",
Homeosetu Clinical Repertory; Boericke; Antrum of Highmore; Affections of : ,mag-c.,
Homeosetu Clinical Repertory; Boericke; Anus; Abscess of : ,calc-s.,
Homeosetu Clinical Repertory; Boericke; Anus; Bleeding from : ,"hir., nat-m.",
Homeosetu Clinical Repertory; Boericke; Anus; Burning in : ,"aesc., aloe., alum., ang., aphis., arist-m., arund., berb., carb-v., card-m., carl., chel., cop., corn., euon-a., gamb., iris., jug-c., kali-c., merc-d., merc-s., nat-s., ol-an., olnd., paeon., pen., prun., rat., rheum., stront-c., sulph., thuj., trom.",
Homeosetu Clinical Repertory; Boericke; Anus; Constriction of : ,"form., gall-ac., ign., lim., meli., mez., nit-m-ac., plb., Rat.",
Homeosetu Clinical Repertory; Boericke; Anus; Excoriation and chaps of : ,"ars., carb-v., sanic.",
Homeosetu Clinical Repertory; Boericke; Anus; Fissure of :,"agn., Calc-f., graph., hydr., kali-i., paeon., rat., thuj.",
Homeosetu Clinical Repertory; Boericke; Anus; Fistula of :,"berb., calc-p., calc-s.",
Homeosetu Clinical Repertory; Boericke; Anus; Irritation of : ,"arist-m., teucr.",
Homeosetu Clinical Repertory; Boericke; Anus; Itching in :,"acon., acon-l., alum., alumn., am-c., anac., anth., arg-n., cadm-i., Calc-f., chel., cina., coff., coll., Cop., ferr., gran., graph., indg., kali-c., kali-m., med., mel-c-s., paeon., pen., petr., polyg., rat., rumx., sabad., sulph., teucr., wye.",
Homeosetu Clinical Repertory; Boericke; Anus; Open : ,"apis., colch., phos., sec.",
Homeosetu Clinical Repertory; Boericke; Anus; Pain in :,"calc-s., card-m., colch., cop., cycl., dios., ign., lac-d., olnd., thuj., zing.",
Homeosetu Clinical Repertory; Boericke; Anus; Patulous : ,sol-t-ae.,
Homeosetu Clinical Repertory; Boericke; Anus; Pressure of : ,"aphis., ars., euphr., lil-t.",
Homeosetu Clinical Repertory; Boericke; Anus; Prolapse of :,"ferr., hydr., mez.",
,,
Homeosetu Clinical Repertory; Boericke; Anus; Soreness of :,"aesc., apoc., calc-f., caps., cham., euon-a., glech., graph., ham., jal., lob-s., Merc-d., mur-ac., nit-m-ac., vib., zing.",
Homeosetu Clinical Repertory; Boericke; Anus; Spasm of : ,plb.,
Homeosetu Clinical Repertory; Boericke; Anxiety : ,"abrot., Acon., acon-f., aeth., alum., ambr., aml-n., anac., antipyrin., arg-n., arn., ars., ars-h., bell., bor., bufo., cact., calc., calc-acet., calc-ar., camph., cann-i., canth., carb-an., Carb-s., carl., cham., chin., chin-ar., cic., cina., coca., cocc., coch., colch., cupr., dig., euph-l., ferr-p., formal., frax., hep., hyper., iod., kali-c., kali-i., kali-p., kali-sil., kalm., kou., kreos., lach., lat-m., lil-t., lol., lon-p., lycpr., m-arct., mag-m., mang., mosch., murx., naja., nat-c., nux-v., nyct., ph-ac., phos., pic-ac., plat., prun., puls., pyrog., sapo., sec., sep., sil., spong., stann., stry., sulo-ac., tab., thea., ther., thyr., vanad., verat., viol-o., x-ray., zing.",
"Homeosetu Clinical Repertory; Boericke; Aorta, pain in : ",dig.,
Homeosetu Clinical Repertory; Boericke; Aortitis : ,"adon., Adren., ars-i., aur-ar.",
Homeosetu Clinical Repertory; Boericke; Aphasia : ,"Both-l., chen-a., kali-br., plb., sulfon.",
Homeosetu Clinical Repertory; Boericke; Aphonia :,"alum., alumn., am-caust., antipyrin., arg., ars-i., bar-c., caust., gels., ip., merc-c., merc-i-r., nat-h., nit-ac., Ox-ac., pen., phos., phyt., pop-c., sang., sulph., syph., xan.",
Homeosetu Clinical Repertory; Boericke; Aphthae : ,"aeth., agar., alumn., anis., Bor., canth., carb-v., corn., eucal., eup-a., hydrin-m., kali-bi., kali-c., kali-chl., kali-m., lach., merc-i-r., mur-ac., nat-h., nux-v., rhus-g., sars., semp., sul-ac.",
Homeosetu Clinical Repertory; Boericke; Apoplexy : ,"arn., bar-c., benz-n., cact., calc-f., calen., carbn-h., chen-a., elaps., form., glon., gua., juni-v., kali-br., lith-br., methyl., Op., ran-g., sep., stront-c., tab., verat-v.",
Homeosetu Clinical Repertory; Boericke; Appendicitis : ,"alf., echi., iris-t., res.",
Homeosetu Clinical Repertory; Boericke; Appetite :,"abies-c., abies-n., abrot., agav-a., alf., all-s., am-c., ant-c., ant-i., aphis., arge., ars-i., asar., aur., aur-ar., bapt., bell., berb., bold., brass., but-ac., calc., calc-f., calc-hp., cann-i., carb-ac., card-m., cast-v., chin., chin-ar., chion., cina., coca., cocain., cocc., con., erio., ferr., galeg., gall-ac., gaul., gent-l., ichth., Iod., iris., kola., lap-a., lec., lob., mag-m., morph., mur-ac., myric., nat-ar., nat-m., olnd., orni., ost., plat., puls., raph., rhus-t., sabad., sac-alb., sant., sec., senn., sil., skat., stront-c., sulo-ac., sulph., sym-r., tarax., tarent-c., teucr., thuj., Tub-a., uran-n., verat., vib., zea-i.",
Homeosetu Clinical Repertory; Boericke; Appetite; Depraved :,sant.,
Homeosetu Clinical Repertory; Boericke; Appetite; Lost : ,"abies-n., ant-c., ant-i., asar., bell., berb., calc., calc-hp., carb-ac., cast-v., cocain., cocc., ferr., lec., morph., Myric., nat-m., orni., ost., puls., raph., sac-alb., senn., stront-c., sulo-ac., sulph., tarax., tarent-c., thuj., tub-a.",
Homeosetu Clinical Repertory; Boericke; Arteries; Affections of : ,calc-hp.,
Homeosetu Clinical Repertory; Boericke; Arteries; Atheroma of :,"cact., vanad.",
Homeosetu Clinical Repertory; Boericke; Arteries; Throbbing of : ,"benz-ac., fago., verat-v., yuc.",
Homeosetu Clinical Repertory; Boericke; Arteriosclerosis : ,"adren., ars-i., aur., aur-i., Bar-m., cact., calc-f., con., crat., ergot., kali-sal., nat-i., pitu-p., plb., plb-i., polyg-a., saroth., stront-c., stroph., sumb., tab., thiosin., vanad.",
Homeosetu Clinical Repertory; Boericke; Arthritis :,"ant-c., arbu., berb., calc., calcul-r., carb-ac., caust., colchin., elat., form., Form-ac., guai., iod., jac-c., junc., lil-t., mang., nat-p., nat-sil., nit-ac., pip-m., pipe., rad-br., sabin., staph., sul-h., thiosin., thym-gl., thyr., tub.",
Homeosetu Clinical Repertory; Boericke;Arthritis; Deformans : ,"colchin., Form-ac., iod., pip-m., thym-gl.",
Homeosetu Clinical Repertory; Boericke; Ascarides : ,"abrot., aesc., sabad., sant., spig., teucr.",
Homeosetu Clinical Repertory; Boericke; Ascites :,"acet-ac., adon., Apoc., ars., aur., blatta-a., cahin., coc-c., colch., fel., kali-c., lact., lyc., oxyd., prun., quas., uran-n.",
Homeosetu Clinical Repertory; Boericke; Asphyxia : ,"aml-n., bov., laur., stry., upa.",
Homeosetu Clinical Repertory; Boericke; Asphyxia; Neonatorum : ,laur.,
Homeosetu Clinical Repertory; Boericke; Asthenopia : ,"agar., am-c., Asar., carb-v., Carb-s., cimic., croc., ign., kali-c., lac-f., lith-c., nat-m., nicc., nicc-s., onos., rhod., ruta., seneg., sep.",
Homeosetu Clinical Repertory; Boericke; Asthma:,"adon., adren., alumn., ambr., ambro., aml-n., anis., ant-i., aral., ars., arum-d., bac., bad., bar-m., benz-ac., blatta., bold., brom., calad., calc-hp., camph., cann-i., carb-v., card-m., chin., chin-ar., chlol., chlor., cist., coca., coch., croto-t., cupr., cupr-ar., dros., dulc., Egg-vac., erio., eucal., euph., ferr-acet., glon., graph., grin., hep., hippoz., hydr-ac., hyper., ictod., iodof., ip., junc., just., kali-i., kali-m., kali-n., kali-p., kali-s., kola., lach., lem-m., linu-u., lip., lob., lycps., mag-p., mang., med., menthol., meph., mosch., naja., naphtin., nat-ar., nat-n., nat-s., nux-v., oeno., ol-an., olnd., onis., passi., pect., phle., psor., ptel., pulm-v., queb., samb., sang., scroph-n., seneg., silphu., sin-n., solid., spong., stroph., succ., succ-ac., sumb., syph., tela., thuj., thymu., tub., valer., verb., visc., wye., zinc., zing.",
Homeosetu Clinical Repertory; Boericke; Asthma; Bronchial : ,"ambro., cupr-ar., erio., hippoz., kali-s., lip., onis., solid., spong., stroph.",
Homeosetu Clinical Repertory; Boericke; Asthma; Catarrhal : ,"bold., calad., onis., spong.",
Homeosetu Clinical Repertory; Boericke; Asthma; Dry : ,"hep., lip., tela., thymu., wye.",
Homeosetu Clinical Repertory; Boericke; Asthma; Humid :,"ant-i., bac., cann-i., nat-s., pect.",
Homeosetu Clinical Repertory; Boericke; Asthma; Hysterical :,mosch.,
Homeosetu Clinical Repertory; Boericke; Asthma; Nervous :,thymu.,
Homeosetu Clinical Repertory; Boericke; Asthma; Periodical : ,"chin-ar., tela.",
Homeosetu Clinical Repertory; Boericke; Asthma; Spasmodic : ,"chlor., coca., cupr., graph., hyper., meph., mosch., naphtin., oeno., thymu., valer.",
Homeosetu Clinical Repertory; Boericke; Astigmatism :,"esin., phys.",
Homeosetu Clinical Repertory; Boericke; Atelectasis : ,stry-p.,
Homeosetu Clinical Repertory; Boericke; Atheroma : ,"adren., cact., glon., vanad.",
Homeosetu Clinical Repertory; Boericke; Athetosis : ,"lath., verat-v.",
Homeosetu Clinical Repertory; Boericke; Atony : ,"ang., ange., Bold., caps., caul., chap., coll., cory., crot-h., dios., eucal., fl-ac., ger., helon., hydr., jac-c., jug-c., kali-bi., lyc., mangi., nat-h., Oreo., passi., polym., ptel., quas., rhus-a., sabin., sel., stry., xanrhi., zinc.",
Homeosetu Clinical Repertory; Boericke; Atrophic pharyngitis : ,aesc.,
Homeosetu Clinical Repertory; Boericke; Atrophy : ,"aesc., alum., ant-c., ars., aur., bell., calc-f., calc-sil., caps., carbn-o., Carbn-s., chim., diosm., dubin., dubin-s., hoit., Iod., iodof., jab., lem-m., lyc., lyss., muscin., nat-ar., nux-v., ol-j., phos., Plb., plb-i., sep., stict., stry., tab., teucr., thal., x-ray.",
Homeosetu Clinical Repertory; Boericke; Aura of epilepsy :,"art-v., cupr., visc., zinc-val.",
Homeosetu Clinical Repertory; Boericke; Axilla; Itching in : ,"aster., bar-c., bov., brom., carb-an., con., Elaps., goss., jug-c., jug-r., lac-ac., lat-m., lyc., nat-s., nit-ac., osm., petr., phyt., prim-v., sang., sil., stry-p., vesp.",
Homeosetu Clinical Repertory; Boericke; Axilla; Pain in : ,"bar-c., brom., carb-an., con., jug-c., lac-ac., lat-m., prim-v.",
Homeosetu Clinical Repertory; Boericke; Axilla; Perspiration of :,"petr., stry-p.",
"Homeosetu Clinical Repertory; Boericke; Axillary glands, suppuration of : ",jug-r.,
Homeosetu Clinical Repertory; Boericke; Back; Aching of : ,"abies-n., aesc., aeth., colch., con., cot., eup-per., gels., guai., helon., lycpr., morph., nat-p., phyt., Rad-br., thlaspi., thymol., torul., verat-v., zinc.",
Homeosetu Clinical Repertory; Boericke; Back; Pains in : ,"abies-n., acet-ac., acon., aesc., agar., aln., aloe., alum., am-be., am-m., ampe-qu., ang., ant-c., ant-t., aphis., apis., arg-n., arist-m., arn., ars., asar., aspar., bad., bar-c., bell., benz-ac., berb., bry., but-ac., cahin., calc., calc-ar., calc-caust., calc-f., calc-p., canth., caps., caust., cere-b., cham., chel., chen-a., chin., chin-s., cimic., cob., cocc., cocci-s., coch., colch., con., cor-r., crat., croto-t., cupr-ar., cycl., dios., dor., dulc., ery-a., euon-a., eup-per., eupi., ferr., franc., frax., gall-ac., Gels., gua., guai., ham., helon., hura., hydr., hyper., ipom., irid-m., joan., jug-c., kali-bi., kali-c., kali-s., kalm., lach., lachn., lepi., lil-t., lob., lyc., mag-m., mag-s., med., menis., merc., mim-h., mom-b., morph., nat-m., nat-s., nicc-s., nit-ac., nux-v., onos., op., petr., ph-ac., phos., phyt., pic-ac., plb., polyp-p., puls., rad-br., rhus-t., ruta., sabin., salx-n., sang., sarr., scol., sec., seneg., sep., sil., sin-n., stach., stry., sulph., tell., ter., teucr., ther., trinit., trio., vario., verat-v., vesp., vib., wye., xan., xero., zinc.",
Homeosetu Clinical Repertory; Boericke; Back; Stiffness of : ,"acon., anac., bar-c., berb., bry., calc-ar., calc-p., caust., cham., cimic., cocc., dulc., gins., hydr., kali-c., Lachn., rhus-t., sulph.",
Homeosetu Clinical Repertory; Boericke; Back; Weakness of : ,"Aesc., alum., ars., asar., bar-c., calc., cast-v., cob., graph., Helon., irid., Kali-c., morph., nat-p., nicc-s., petr., phos., phyt., pulx., sep., sil.",
Homeosetu Clinical Repertory; Boericke; Backache : ,"aesc., am-m., ant-c., arg., bell., calc-o-t., calc-p., cann-i., carb-ac., casc., cimic., cob., cocc., coch., colch., cuc-c., euon-a., Eupi., ferr., galeg., glon., gnaph., goss., hedeom., helon., hip-ac., ind., inul., kali-c., kali-n., kreos., lac-c., lyc., methyl., nat-h., nux-v., nym., ovi-g-p., ox-ac., pall., pipe., psor., pulx., Rad-br., ruta., sars., senec., solid., staph., torul., upa., uran-n., vario., vib., xero., ziz.",
"Homeosetu Clinical Repertory; Boericke; Backache; Sexual excess, from :","cann-i., staph.",
Homeosetu Clinical Repertory; Boericke; Balanitis : ,"dig., thuj.",
Homeosetu Clinical Repertory; Boericke;Baldness : ,"kali-s., lyc., vinc.",
Homeosetu Clinical Repertory; Boericke; Bashfulness : ,"ambr., bar-c., coca., manc.",
"Homeosetu Clinical Repertory; Boericke; Bathing, effects of :",mag-m.,
Homeosetu Clinical Repertory; Boericke; Bearing-down pains : ,"acal., frax., haem.",
Homeosetu Clinical Repertory; Boericke; Bed-sores : ,"arn., carb-v., urt-u.",
Homeosetu Clinical Repertory; Boericke; Bee-stings :,"apis., semp.",
Homeosetu Clinical Repertory; Boericke; Belching :,"acet-ac., all-c., ang., ant-c., Arg-n., arge., cadm., calc., calc-ar., carb-ac., carb-v., chin., coch., dios., echi., hom., hyos., mag-p., nat-c., nux-v., olnd., orni., paraf., phos., podo., rad-br., sabal., sal-ac., skat., sulph., sumb., torul., wye.",
Homeosetu Clinical Repertory; Boericke; Beriberi : ,"elat., lath.",
"Homeosetu Clinical Repertory; Boericke; Bile, excess of : ",mang-s.,
Homeosetu Clinical Repertory; Boericke; Biliary colic : ,"chion., chlf., menth., podo., trio.",
Homeosetu Clinical Repertory; Boericke; Bilious; Attack : ,"anthro., kalm., merc-d., tarax.",
Homeosetu Clinical Repertory; Boericke; Bilious; Fever :,"crot-h., Gels., merc., merc-d., polyp-p.",
Homeosetu Clinical Repertory; Boericke; Bilious; Headache :,"berb-a., euon-a., polyp-p., yuc.",
Homeosetu Clinical Repertory; Boericke; Biliousness : ,"acon., aesc., Am-pic., ambr., anthro., berb-a., bold., cham., chel., chion., chlf., corn., crot-h., euon-a., eup-per., fel., ferr-pic., fl-ac., gamb., gels., iris., juglin., kalm., lept., menth., merc., merc-c., merc-cy., merc-d., myric., nat-s., nit-m-ac., Nyct., ost., podo., polyp-p., puls., sang., tarax., Trio., yuc.",
Homeosetu Clinical Repertory; Boericke; Bites :,"absin., acet-ac., agki-p., am-br., anis., aphis., apis., bell., bufo., calad., canth., caust., cist., Echi., euph., euph-pr., fili-v., gua., helo., ho., hyper., ign., iod., kali-ma., lat-m., led., mez., ol-an., paeon., paraf., petros., ph-ac., phyt., sel., sela., semp., sisy., verb.",
"Homeosetu Clinical Repertory; Boericke; Bites; Reptiles, of : ",iod.,
Homeosetu Clinical Repertory; Boericke; Bladder; Affections of : ,"chim., geum., pareir.",
Homeosetu Clinical Repertory; Boericke; Bladder; Catarrh of : ,"agri., ant-t., bals-p., baros., chim., coc-c., cop., dulc., eucal., indg., mit., pareir., pop., silphu.",
Homeosetu Clinical Repertory; Boericke; Bladder; Inflammation of : ,"canth., hydrc., sabin.",
Homeosetu Clinical Repertory; Boericke; Bladder; Irritable :,"alth., baros., calc., carb-ac., ery-a., eup-pur., euphr., guai., joan., nux-v., physal., pulx., senec., staph., tritic.",
Homeosetu Clinical Repertory; Boericke; Bladder; Pains in : ,"aeth., ambr., ant-t., berb., canth., card-m., Coc-c., cop., dig., gall-ac., geum., gua., hedeom., Lith-c., mez., naphtin., nux-v., pareir., prun., puls., pyrus., ruta., sin-n., uva., xanrhoe.",
Homeosetu Clinical Repertory; Boericke; Bladder; Paralysis of :,"ars., gels., hyos., sec.",
Homeosetu Clinical Repertory; Boericke; Bladder; Paresis of :,morph.,
Homeosetu Clinical Repertory; Boericke; Bladder; Prolapse of : ,erig.,
Homeosetu Clinical Repertory; Boericke; Bladder; Stone in :,guat.,
Homeosetu Clinical Repertory; Boericke; Bladder; Weakness of : ,"all-c., hep.",
Homeosetu Clinical Repertory; Boericke; Blenorrhagia : ,"calen., petr.",
Homeosetu Clinical Repertory; Boericke; Blepharitis : ,"ant-c., chrysar., clem., graph., merc-pr-r., nat-ar., petr., psor., seneg.",
Homeosetu Clinical Repertory; Boericke; Blepharospasm : ,esin.,
Homeosetu Clinical Repertory; Boericke; Blindness : ,"aesc., Both-l., botul., cadm., calc-f., cann-s., chin., cycl., fago., fil., gels., lac-d., nux-v., phys., puls., sant., tab., vanad., vesp.",
Homeosetu Clinical Repertory; Beoricke; Blindness; Day :,both-l.,
Homeosetu Clinical Repertory; Boerick; Blindness; Night :,"cadm., chin.",
Homeosetu Clinical Repertory; Boericke; Blood-poisoning :,gunp.,
Homeosetu Clinical Repertory; Boericke; Blood- vomiting :,"acon., arn., ars., cact., crot-h., eucal., ferr-p., Fic., ger., ip., iris., merc-cy., sec.",
Homeosetu Clinical Repertory; Boericke;  Blotches :,"agav-a., antipyrin., ap-g., arg-n., berb-a., calo., chlol., colch., dulc., fago., kali-bi., med., nux-v., prim-o., sang., sep., sil., solid., sul-ac., thuj., urt-u., vac.",
